Fs=250
t,x
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7
0.556,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165552.7327,-154080.3422
0.56,4977.688787,-11524.6265,-176609.3807,-176552.652,5403.489519,89611.74215,18067.92087,36234.81527
0.564,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165530.3586,-154067.7806
0.568,3768.325301,-10167.16035,-178157.9766,-178124.9408,6563.969739,90793.23301,18496.24735,35898.2874
0.572,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165562.5451,-154088.2101
0.576,5183.771871,-11621.34249,-176563.0679,-176492.0564,5240.590005,89450.65313,18043.78099,36261.4362
0.58,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165518.0652,-154059.5551
0.584,3591.455947,-10095.56771,-178135.692,-178121.6104,6735.608785,90909.75266,18492.55931,35847.23602
0.588,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165573.3857,-154099.2518
0.592,5348.124248,-11576.43784,-176610.6771,-176527.6181,5194.858336,89442.18182,18118.45817,36318.20963
0.596,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165513.5501,-154058.8622
0.6,3497.891545,-10118.18768,-178070.0449,-178092.6648,6769.538733,90924.95184,18473.00154,35847.39248
0.604,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165580.7394,-154106.7173
0.608,5435.988955,-11541.52442,-176712.3552,-176610.7889,5153.082925,89423.18284,18152.67869,36342.59538
0.612,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165506.487,-154053.7213
0.616,3458.954806,-10203.50429,-177952.1841,-177977.4863,6743.923634,90890.68662,18422.97833,35847.6607
0.62,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165581.9911,-154108.4831
0.624,5441.979223,-11429.98921,-176858.8933,-176743.0218,5201.273286,89497.0777,18203.52891,36340.02493
0.628,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165506.8669,-154056.6494
0.632,3477.149126,-10300.26499,-177813.9162,-177839.9113,6706.126834,90839.61288,18390.36714,35869.58776
